iter	Passed	Remaining
420	2417	3325
421	2423	3319
422	2429	3313
423	2434	3307
424	2440	3301
425	2446	3295
426	2451	3289
427	2456	3283
428	2462	3277
429	2468	3271
430	2473	3265
431	2479	3259
432	2485	3254
433	2490	3248
434	2496	3242
435	2502	3236
436	2507	3231
437	2514	3225
438	2519	3219
439	2525	3213
440	2530	3208
441	2536	3202
442	2542	3196
443	2548	3190
444	2553	3184
445	2559	3178
446	2565	3173
447	2571	3168
448	2577	3162
449	2582	3156
450	2588	3151
451	2594	3145
452	2599	3138
453	2605	3133
454	2610	3127
455	2616	3121
456	2621	3115
457	2627	3109
458	2632	3103
459	2638	3097
460	2644	3091
461	2650	3086
462	2655	3080
463	2661	3074
464	2667	3068
465	2673	3063
466	2678	3057
467	2684	3051
468	2689	3045
469	2695	3040
470	2701	3034
471	2707	3028
472	2713	3023
473	2719	3017
474	2725	3012
475	2730	3006
476	2736	3000
477	2741	2994
478	2748	2989
479	2753	2982
480	2759	2977
481	2764	2971
482	2770	2965
483	2776	2960
484	2782	2954
485	2788	2949
486	2794	2943
487	2799	2937
488	2805	2931
489	2810	2925
490	2816	2919
491	2822	2913
492	2827	2907
493	2833	2902
494	2839	2896
495	2845	2890
496	2850	2885
497	2856	2879
498	2861	2873
499	2867	2867
500	2873	2861
501	2879	2856
502	2884	2850
503	2889	2844
504	2896	2838
505	2901	2832
506	2907	2827
507	2913	2821
508	2919	2816
509	2926	2811
510	2931	2805
511	2937	2800
512	2944	2794
513	2950	2789
514	2955	2783
515	2961	2778
516	2967	2772
517	2973	2767
518	2979	2761
519	2985	2755
520	2991	2750
521	2996	2744
522	3002	2738
523	3007	2732
524	3013	2726
525	3018	2720
526	3024	2714
527	3030	2708
528	3035	2702
529	3041	2697
530	3047	2691
531	3052	2685
532	3058	2680
533	3064	2674
534	3069	2668
535	3075	2662
536	3081	2657
537	3087	2651
538	3092	2645
539	3098	2639
540	3104	2634
541	3110	2628
542	3116	2622
543	3121	2616
544	3127	2611
545	3133	2605
546	3139	2600
547	3146	2594
548	3151	2589
549	3157	2583
550	3162	2577
551	3168	2571
552	3174	2566
553	3180	2560
554	3185	2554
555	3191	2548
556	3197	2542
557	3202	2536
558	3207	2530
559	3213	2524
560	3219	2518
561	3224	2513
562	3231	2508
563	3238	2503
564	3244	2497
565	3251	2492
566	3256	2486
567	3262	2480
568	3268	2475
569	3274	2469
570	3280	2464
571	3285	2458
572	3291	2452
573	3296	2446
574	3302	2441
575	3308	2435
576	3314	2429
577	3319	2423
578	3325	2418
579	3331	2412
