iter	Logloss
227	0.1673652259
228	0.167286713
229	0.1672234043
230	0.1671779231
231	0.16713229
232	0.1671054161
233	0.1670624066
234	0.1669517668
235	0.1668999031
236	0.1668676093
237	0.1668017058
238	0.1667516011
239	0.1667033228
240	0.1666487323
241	0.1666271417
242	0.1665853565
243	0.1665557615
244	0.1664935549
245	0.1664547951
246	0.166419239
247	0.1663769221
248	0.1663393992
249	0.1662866481
250	0.166249231
251	0.1662013376
252	0.1661483223
253	0.1660687253
254	0.166036224
255	0.1659200575
256	0.1658583412
257	0.165806009
258	0.1657545149
259	0.1657053053
260	0.1656627118
261	0.1656297303
262	0.1655993759
263	0.1655368057
264	0.1654563755
265	0.1653805535
266	0.1653489635
267	0.1653212572
268	0.1652809655
269	0.1652194253
270	0.1651764024
271	0.1651146684
272	0.1650707495
273	0.165034357
274	0.1649981033
275	0.1649834274
276	0.1649368868
277	0.1648917929
278	0.1648546049
279	0.1648123604
280	0.1647924166
281	0.1646911829
282	0.1646092051
283	0.1645881415
284	0.1645262274
285	0.1644876713
286	0.1644680217
287	0.164445169
288	0.1643541109
289	0.164319659
290	0.1642720757
291	0.164241116
292	0.1641980022
293	0.1641665676
294	0.1641316901
295	0.1640899505
296	0.1640378374
297	0.1640092105
298	0.1639800691
299	0.163882939
300	0.1638542615
301	0.1638453578
302	0.1637874774
303	0.1637382247
304	0.1636901773
305	0.1636519008
306	0.1635930541
307	0.1635600629
308	0.163507548
309	0.1634825182
310	0.1634170703
311	0.1633479701
312	0.1632998212
313	0.1632637852
314	0.16321767
315	0.1631913329
316	0.1631599294
317	0.1631064954
318	0.1630787733
319	0.1630449055
320	0.1630006381
321	0.1629761888
322	0.1629361241
323	0.1628821501
324	0.1628409731
325	0.1627917543
326	0.1627572534
327	0.1627428987
328	0.1627145322
329	0.1626828604
330	0.1626541412
331	0.162573675
332	0.1625414934
333	0.16249458
334	0.1624675215
335	0.162405932
336	0.162364883
337	0.1623424545
338	0.1622976861
339	0.1622511301
340	0.1622151967
341	0.1621613732
342	0.1621299913
343	0.1620910554
344	0.1620347271
345	0.1619902045
346	0.1619673562
347	0.1619438062
348	0.1619275984
349	0.1617545753
350	0.1617279633
351	0.1616865092
352	0.1616693711
353	0.1616240434
354	0.1615924146
355	0.1615533791
356	0.161530331
357	0.1614979274
358	0.1614297906
359	0.1613805231
360	0.1613518668
361	0.1613195923
362	0.1612642235
363	0.1611953518
364	0.1611559505
365	0.1611407113
366	0.1611119111
367	0.1610928986
368	0.161048911
369	0.1609929989
370	0.1609418218
371	0.1608785762
372	0.1608590663
373	0.1608097122
374	0.1607673165
375	0.1607490156
376	0.1607237109
377	0.1606735738
378	0.1606474871
379	0.1605947893
380	0.1604778142
381	0.1604209526
382	0.1603341547
383	0.1602830903
384	0.1602372495
385	0.160202482
386	0.1601575319
387	0.1601266862
388	0.1600934243
389	0.1600357347
390	0.1600089839
391	0.1599694172
392	0.1598847874
393	0.1598475615
394	0.1598193342
395	0.1597732377
396	0.1597310808
397	0.1596744129
398	0.1596437192
399	0.1595779473
400	0.1595393494
401	0.1594977918
402	0.1594414803
403	0.1593995352
404	0.1593757522
405	0.1593289818
406	0.1592813544
407	0.1592358251
408	0.1591955936
409	0.1591256646
410	0.1590835397
411	0.1590409067
412	0.1590053593
413	0.158927047
414	0.1588804747
415	0.1588453483
416	0.1588169322
417	0.158769218
418	0.1587449348
419	0.1586798541
420	0.1586343036
421	0.1585918861
422	0.1585612209
423	0.1585285753
424	0.1584349118
425	0.1583751501
426	0.1583448114
427	0.1583050667
428	0.1582553006
429	0.1582330955
430	0.1582105832
431	0.1581623149
432	0.1581186557
433	0.1580893113
434	0.1580465544
435	0.1580332172
436	0.158001904
437	0.1579646628
438	0.1579181818
439	0.1578710103
440	0.1578155129
441	0.157763743
442	0.1577288377
443	0.1576917585
444	0.1576600659
445	0.1576331449
446	0.1575927766
447	0.1575524345
448	0.1574980191
449	0.157447837
450	0.1573860652
451	0.1573431874
452	0.1573178933
453	0.157289261
454	0.1572443639
455	0.1572011484
456	0.1571577234
457	0.157087147
458	0.1570515686
459	0.1570268314
460	0.1569962607
461	0.1569615035
462	0.1569133833
463	0.1568817824
464	0.1568648748
465	0.1568425181
466	0.1568110627
467	0.1567669509
468	0.1567349754
469	0.1566584383
470	0.1566308284
471	0.1565981877
472	0.1565706818
473	0.1565314491
474	0.1564932939
475	0.1564686212
476	0.1564384296
477	0.1563968247
478	0.1563625196
479	0.1563063806
480	0.1562760532
481	0.1561808881
482	0.1561360541
483	0.1560967245
484	0.1560759445
485	0.1560441573
486	0.1560158471
487	0.1559824727
488	0.155903216
489	0.1558657134
490	0.1558328862
491	0.1557778629
492	0.155760104
493	0.1557311507
494	0.1556815688
495	0.1556597606
496	0.1556208213
497	0.1556001543
498	0.1555679153
499	0.1555314861
500	0.1555089087
501	0.1554893527
502	0.155470116
503	0.1554456681
504	0.1554010413
505	0.1553789968
506	0.1553207962
507	0.1552962733
508	0.1552324844
509	0.1551830915
510	0.1551728625
511	0.1551472009
512	0.1551144251
513	0.1550853301
514	0.1550398663
515	0.1550227865
516	0.1549748042
517	0.1549275402
518	0.1548957148
519	0.1548629677
520	0.1548422081
521	0.1548098615
522	0.1547779512
523	0.1547326107
524	0.1547017598
525	0.1546727773
526	0.1546443575
527	0.154611775
528	0.154576699
529	0.1545423564
530	0.1545139103
531	0.1544724435
532	0.1544550013
533	0.1544074162
534	0.1543619868
535	0.1543220007
536	0.1542814009
537	0.1542469461
538	0.1542333975
539	0.1542052319
540	0.1541764296
541	0.1541537057
542	0.1541055494
543	0.1540846518
544	0.1540804883
545	0.154049162
546	0.1540191923
547	0.1539440573
548	0.1539205267
549	0.1538879139
550	0.1538600253
551	0.1538253532
552	0.1537850655
553	0.1537403872
554	0.1537014412
555	0.1536651747
556	0.1535918938
557	0.1535451714
558	0.1535058659
559	0.1534770076
560	0.153427039
561	0.1533956909
562	0.1533725447
563	0.1533428066
564	0.1533274123
565	0.1533014853
566	0.1532869942
567	0.1532545207
568	0.1532082712
569	0.1531693523
570	0.1531531829
571	0.1531073994
572	0.1530540939
573	0.1530315426
574	0.1529860549
575	0.1529703223
576	0.1529210186
577	0.1528934864
578	0.1528550399
579	0.1528350301
580	0.1527976744
581	0.1527507479
582	0.1527180763
583	0.1526843579
584	0.1526455871
585	0.1525940716
586	0.1525475909
587	0.1525206929
588	0.1524900472
589	0.1524529714
590	0.1524031851
591	0.1523611925
592	0.1523291629
593	0.1523131361
594	0.1522826222
595	0.1522420912
596	0.1522099372
597	0.1521712228
598	0.1520845671
599	0.1520518475
600	0.1520120574
601	0.1519627819
602	0.1519030371
603	0.15188082
604	0.151831484
605	0.1517923647
606	0.1517607613
607	0.151713121
608	0.1516768556
609	0.1516498763
610	0.1516302739
611	0.1515928802
612	0.1515624101
613	0.1515338951
614	0.1515033219
615	0.1514717157
616	0.1514608037
617	0.1514450744
618	0.1514141114
619	0.1513935053
620	0.1513761573
621	0.1513390234
622	0.1513000314
623	0.1512629138
624	0.1512448211
625	0.1512166115
626	0.1511875968
627	0.151129632
628	0.1511012393
629	0.1510695926
630	0.1510408299
631	0.1509935982
632	0.1509421854
633	0.1508983068
634	0.1508560219
635	0.1508130949
636	0.1507755637
637	0.150751023
638	0.1507284662
639	0.1506985881
640	0.1506659009
641	0.150643479
642	0.1506200681
643	0.1505625271
644	0.1505430228
645	0.150504833
646	0.1504803133
647	0.1504615108
648	0.1504178649
649	0.150381267
650	0.1503538525
651	0.1503297098
652	0.1502844632
653	0.1502341971
654	0.1501976587
655	0.1501632869
656	0.1501420036
657	0.150109017
658	0.1500846329
659	0.1500694544
660	0.1500226685
661	0.1499920376
662	0.1499521786
663	0.1499330899
664	0.1498880533
665	0.1498482552
666	0.1498146714
667	0.1497755971
668	0.149735471
669	0.1497015809
670	0.1496756698
671	0.1496282904
672	0.149596297
673	0.1495117489
674	0.1494771815
675	0.1494729406
676	0.1494238515
677	0.1493954222
678	0.1493647217
679	0.1493294226
680	0.1493030692
681	0.1492784838
682	0.1492700092
683	0.1492529938
684	0.1492075122
685	0.1491751874
686	0.1491612797
687	0.1491443378
688	0.1490909476
689	0.1490676513
690	0.1490007392
691	0.1489701358
692	0.1489406103
693	0.1489079658
694	0.1488734756
695	0.1488390938
696	0.1488038034
697	0.1487544044
698	0.1487422895
699	0.1487155563
700	0.148670369
701	0.1486384163
702	0.1486105221
703	0.1485974819
704	0.1485702761
705	0.1484975344
706	0.1484507806
707	0.1484258079
708	0.1483993354
709	0.1483759721
710	0.1483484904
711	0.1483180617
712	0.1482881763
713	0.1482659491
714	0.1482529131
715	0.1482345154
716	0.1482019295
717	0.1481693208
718	0.1481256637
719	0.1481016983
720	0.1480816773
721	0.1480435183
722	0.1480373343
723	0.14799401
724	0.1479695913
725	0.1479233684
726	0.1478592342
727	0.1478309589
728	0.147805778
729	0.147783417
730	0.1477483662
731	0.1477273825
732	0.1477061791
733	0.1476704089
734	0.1476349413
735	0.1476019248
736	0.1475625792
737	0.1475391365
738	0.1474843795
739	0.1474635171
740	0.1474290218
741	0.1474062224
742	0.1473724205
743	0.1473536714
744	0.1473353241
745	0.147320392
746	0.1472962386
747	0.1472734076
748	0.1472402097
749	0.1471621337
750	0.1471348277
751	0.1470893372
752	0.1470527463
753	0.1470190969
754	0.1469918859
755	0.1469568621
756	0.1469482192
757	0.1469193864
758	0.1468933607
759	0.1468753413
760	0.1468535026
761	0.1468310124
762	0.1467988058
763	0.1467927707
764	0.1467523972
765	0.1467139948
766	0.146699353
767	0.1466388673
768	0.1466230945
769	0.146600892
770	0.1465733518
771	0.1465423677
772	0.1465048148
773	0.146478234
774	0.1464666529
775	0.1464246002
776	0.1463725088
777	0.1463476358
778	0.1462905697
779	0.1462580178
780	0.146250874
781	0.1462294001
782	0.1461945125
783	0.1461511182
784	0.1461235011
785	0.1461076047
786	0.1460777053
787	0.1460424124
788	0.1460108118
789	0.1459743944
790	0.1459359362
791	0.1459112019
792	0.1458679662
793	0.14582907
794	0.1457981139
795	0.1457652579
796	0.1457327378
797	0.1457178094
798	0.1457014687
799	0.1456790533
800	0.1456499549
801	0.1456175744
802	0.1455768846
803	0.1455383422
804	0.1454860781
805	0.1454786262
806	0.1454570614
807	0.145440611
808	0.1454267864
809	0.1454053967
810	0.1453537436
811	0.1453182397
812	0.145291933
813	0.1452716645
814	0.1452371624
815	0.1451875244
816	0.1451332594
817	0.1451074607
818	0.1450643967
819	0.1450406824
820	0.1450010187
821	0.1449763456
822	0.1449427155
823	0.1449015006
824	0.1448657219
825	0.1448224752
826	0.1447608685
827	0.1447307124
828	0.1447124206
829	0.1446565386
830	0.1446132985
831	0.1445937754
832	0.1445763952
833	0.1445237576
834	0.1444931346
835	0.144463839
836	0.1444470223
837	0.1443923411
838	0.1443599611
839	0.144336464
840	0.1443189452
841	0.1443059652
842	0.144247953
843	0.1442072774
844	0.1441914247
845	0.1441754296
846	0.1441618176
847	0.1441353312
848	0.1440989797
849	0.144063617
850	0.1440300311
851	0.1439858782
852	0.1439528031
853	0.1439211083
854	0.1438943459
855	0.1438504261
856	0.1438256544
857	0.1438128345
858	0.1437766232
859	0.1437460256
860	0.1437201456
861	0.1437080379
862	0.1436910829
863	0.1436579554
864	0.1436330411
865	0.1436068641
866	0.1435708937
867	0.1435357347
868	0.143506626
869	0.1434790269
870	0.1434510284
871	0.1434227364
872	0.1433920052
873	0.1433689715
874	0.1433542729
875	0.1433244729
876	0.1432806369
877	0.1432614764
878	0.14323436
879	0.1431875775
880	0.1431456444
881	0.1431066382
882	0.1430868891
883	0.1430694585
884	0.1430323768
885	0.1430046688
886	0.1429599945
887	0.1429111855
888	0.1428700805
889	0.1428419392
890	0.1428176815
891	0.1427939342
892	0.142750242
893	0.1427265797
894	0.1427119651
895	0.1426924331
896	0.1426654997
897	0.1426171457
898	0.1425923019
899	0.1425693205
900	0.142545763
901	0.1424954325
902	0.142464554
903	0.1424471557
904	0.1424117417
905	0.1423843025
906	0.1423483256
907	0.1423087293
908	0.1422943519
909	0.1422694866
910	0.1422323937
911	0.1422151802
912	0.1421902262
913	0.1421825294
914	0.1421318993
915	0.1420924044
916	0.142073605
917	0.1420550315
918	0.142022404
919	0.1420036677
920	0.1419593811
921	0.1419352781
922	0.1419048388
923	0.1418694677
924	0.1418189852
925	0.141789548
926	0.1417620239
927	0.1417288258
928	0.1416982654
929	0.1416785203
930	0.1416589756
931	0.1416202227
932	0.141603431
933	0.1415762395
934	0.1415573239
935	0.1415226208
936	0.1415011425
937	0.1414675453
938	0.1414259934
939	0.1414111279
940	0.1413821121
941	0.141335367
942	0.1413089192
943	0.1412849373
944	0.1412829009
945	0.1412554584
946	0.1412266163
947	0.1412079987
948	0.1411749077
949	0.1411311961
950	0.141117503
951	0.1410881189
952	0.1410626165
953	0.141033702
954	0.1410028415
955	0.1409776643
956	0.1409422063
957	0.1409128839
958	0.1408790641
959	0.1408488882
960	0.140824215
961	0.1407891446
962	0.1407389366
963	0.1407279357
964	0.1407133707
965	0.1406894364
966	0.1406625989
967	0.1406290768
968	0.1406127132
969	0.1405936018
970	0.140567152
971	0.1405482983
972	0.140527057
973	0.1404792354
974	0.1404555443
975	0.1404296623
976	0.1404067054
977	0.1403614441
978	0.1403312948
979	0.1402933821
980	0.1402655962
981	0.1402403194
982	0.140189484
983	0.1401536237
984	0.1401202501
985	0.1401036649
986	0.1400580706
987	0.1400313334
988	0.1399981698
989	0.1399608594
990	0.1399238804
991	0.139888099
992	0.139858262
993	0.139823724
994	0.1397894575
995	0.139757258
996	0.1397280282
997	0.1397018272
998	0.1396648634
999	0.1396485005
